[2025-12-09 21:44:48,267: INFO: main: logging is implemented]
[2025-12-14 21:46:12,039: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-12-14 21:46:12,186: INFO: common: yaml file: params.yaml loaded successfully]
[2025-12-14 21:46:12,274: INFO: common: created directory at: artifacts]
[2025-12-14 21:46:12,276: INFO: common: created directory at: artifacts/data_ingestion]
[2025-12-14 21:46:18,115: INFO: 380177465: File is downloaded]
[2025-12-15 21:37:58,933: INFO: main: stage Data Ingestion Stage initiated]
[2025-12-15 21:37:58,986: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-12-15 21:37:59,032: INFO: common: yaml file: params.yaml loaded successfully]
[2025-12-15 21:37:59,053: INFO: common: created directory at: artifacts]
[2025-12-15 21:37:59,054: INFO: common: created directory at: artifacts/data_ingestion]
[2025-12-15 21:38:18,969: INFO: data_ingestion: File is downloaded]
[2025-12-15 21:38:19,181: INFO: main: stage Data Ingestion Stage completed]
[2025-12-18 21:56:25,099: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-12-18 21:56:25,302: INFO: common: yaml file: params.yaml loaded successfully]
[2025-12-18 21:56:25,384: INFO: common: created directory at: artifacts]
[2025-12-18 21:56:25,385: INFO: common: created directory at: artifacts/data_transformation]
[2025-12-19 22:07:33,774: INFO: main: stage Data Ingestion Stage initiated]
[2025-12-19 22:07:33,864: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-12-19 22:07:33,961: INFO: common: yaml file: params.yaml loaded successfully]
[2025-12-19 22:07:33,995: INFO: common: created directory at: artifacts]
[2025-12-19 22:07:33,996: INFO: common: created directory at: artifacts/data_ingestion]
[2025-12-19 22:07:34,017: INFO: data_ingestion: File is already exists]
[2025-12-19 22:07:34,756: INFO: main: stage Data Ingestion Stage completed]
[2025-12-19 22:07:34,756: INFO: main: stage Data Transformation Stage initiated]
[2025-12-19 22:07:34,758: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-12-19 22:07:34,759: INFO: common: yaml file: params.yaml loaded successfully]
[2025-12-19 22:07:34,760: INFO: common: created directory at: artifacts]
[2025-12-19 22:07:34,761: INFO: common: created directory at: artifacts/data_transformation]
[2025-12-19 22:07:52,671: INFO: main: stage Data Transformation Stage completed]
